"so this is a little bit .
","also sah eine gelegenheit .
",6,4
"this is a <unk> .
","sie wurde als der bekannt .
",4,5
"and i 'm going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to the <unk> .
","wir verbrachten einen nachmittag zusammen damit , in der öffentlichen bücherei in salt lake city auswendig zu lernen . einfach faszinierend .
",37,21
"he said , "" he was a <unk> . "" </s> </s>
","dies ist mein freund ben , .
",11,6
"but i do n't know that you do n't know about it .
","ich gewann den wettkampf , was nun wirklich nicht hätte passieren sollen .
",12,12
"and i 'm going to say , "" i 'm going to go to go to go to go .
","heute haben wir 20 araber in der stadt , und sie sind immer noch alle meine familie .
",19,17
"i do n't know what i want to do is , but i want to do .
","also dachte ich , das ist genau das , was ich wirklich entwerfen will , nicht eine shopping mall .
",16,19
"and i do n't know that i do n't know , but i do n't know , but i do n't know , i do n't know , i do n't know , i do n't know .
","das habe ich das erste mal bemerkt , als ich meiner tochter "" star wars "" gezeigt habe , was jahre später war , und die situation war anders .
",37,29
"so , i 'm going to be able to be able to be able to be able to be able to be able to be able to the brain . </s> .
","der letzte schritt war , über die zelle nachzudenken , die kleine zelle des projekt , wie die wohnung , als ein wesentlicher teil des .
",31,25
"so , you can see that you can see that you can see that you can see that you can see that you can see that you can see a <unk> , you can see a <unk> .
","für den großteil der menschlichen geschichte konnten wir uns nicht schneller als ein pferd oder ein boot mit segeln fortbewegen , aber im jahr 1969 flog die mannschaft der apollo 10 mit einer geschwindigkeit von ca. kilometern pro stunde .
",37,39
"and he said , "" he said , "" </s> .
","ich war erstaunt , ich war wütend und verwirrt .
",10,9
"i 'm going to talk about it .
","freud sollte später darüber schreiben .
",7,5
"i do n't know what i do .
","dieser gruppe wird es gut gehen , glaube ich .
",7,9
"but it 's not the <unk> .
","es erklärt hauptsächlich , was mit silicon valley nicht stimmt .
",6,10
"how do you do it ?
","wie geht das ?
",5,3
"and then you have a <unk> , you have a <unk> .
","nehmen wir tom , ihre berühmteste figur .
",11,7
"and i do n't know , i do n't want to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to go .
","ich habe das privileg , diesen 20ern wie emma jeden tag mitzuteilen : die 30er sind nicht die neuen 20er , macht euch also auf , erlangt ein , nutzt eure schwachen bande sucht euch eure familie selbst aus .
",48,39
"and we 're going to do that , and we 're going to do it .
","diese als wiederaufbau des vertrauens zu beschreiben , verdreht den sachverhalt wieder .
",15,12
"and i do n't know that i do n't know that i 'm going to be able to be able to be able to be able to be able to be able to be able to be able to be . </s> </s>
","ich hatte eine ahnung , dass dies die letzte sein würde , aber ich war mir hundertprozentig sicher , dass es noch in meinem leben kolonien auf dem mars geben würde .
",42,31
"and i do n't want to do n't want to do n't want to do n't want to do n't want to do n't want to do it .
","leute sagen , kinder sind grausam , aber als kind oder erwachsene hat sich nie jemand über mich lustig gemacht .
",28,20
"and they do n't know .
","außerdem sind sie anführer .
",5,4
"they 're going to be able to build . </s> .
","zu einigen weiteren gefahren .
",10,4
"a woman in a white shirt and a woman in a white shirt , and a woman in a <unk> .
","eines tages wird er von einem mann angesprochen , der ihn zum mittagessen einlädt , dann zum abendessen , danach zum frühstück .
",20,22
"and he said , "" well , i do n't know , "" i do n't know , but i do n't know , ""
","und ich bin aus jersey , wo es wirklich wichtig ist , zu sein , also wenn meine freundinnen absätze trugen , dann ich auch .
",24,25
"and then , you know , you know , you know , you know , you know , you know ,
","sind wie flugzeuge , die gerade den flughafen verlassen und sich irgendwo nach westen begeben .
",20,15
"they do n't know .
","zerebralparese ist nicht genetisch .
",4,4
"and i do n't know , i do n't know , but i do n't know , i do n't want to go .
","und wenn meine freunde ihre an der küste von jersey verbrachten , dann ich nicht .
",23,15
"and he said , "" well , "" well , "" </s>
","platzieren sie einen mund in die tür , bedeutet es : "" fragen stellen "" .
",11,15
"now , we 're going to be able to be able to be able to be able to be able to be able to be able to be <unk> . </s> .
","um zum mond zu gelangen , investierte nasa ungefähr 180 milliarden dollar entsprechend dem heutigem wert , oder vier prozent des .
",31,21
"you can see the <unk> .
","der mensch im mund , er ist wie eingesperrt .
",5,9
"so we 're trying to do something that we 're trying to be able to be able to be able to be able to be able to be able to use . </s> .
","aber die frage war , wie wir ein , gebäude mit diesen prinzipien entwerfen könnten .
",33,15
"and then you can see it .
","an das gewicht gewöhnt man sich nur schwer .
",6,8
"we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to the world .
","wie sie ehen können , werden digitale informationen uns nicht nur etwas zeigen , sondern anfangen , direkt mit uns zu interagieren , als teil unserer physikalischen umgebung , ohne uns selbst von unserer realen welt zu trennen .
",45,38
"and he said , "" well , "" i 'm going to be a <unk> . ""
","jedes mal , wenn ich eine szene aus "" die "" spielte , meine lehrer .
",16,15
"i have a day .
","es war ein wunderschöner tag .
",4,5
"i 'm going to go .
","eifersucht mag fotos .
",5,3
"and he said , "" well , "" well , "" </s>
","was , wenn ich zu dem gleichen zustand der "" "" gezwungen gewesen wäre ?
",11,14
"and he said , "" he said , he said , ""
","er besuchte die universität in und machte dort seinen abschluss .
",11,10
"and i 'm going to say , "" i 'm going to say , ""
","also ich überall : "" endlich bekomme ich eine rolle !
",14,10
"and it 's a little bit like , and it 's called <unk> . ""
","wenn die sonne und der mond zusammen scheinen , bedeutet es "" helligkeit "" .
",14,14
"it 's a <unk> .
","er eröffnete eine .
",4,3
"i do n't want to be able to be able to be able to do it . </s> . </s> .
","macht etwas , das für euch eine investition ist , investiert in etwas , was ihr als nächstes sein wollt .
",20,20
"it 's a little bit like this .
","es ist ein gefühl , das genährt werden muss .
",7,9
"and they 're <unk> , and they 're <unk> , they 're <unk> . </s> .
","wir müssen schon zugeben , dass und eifersüchtig sind .
",15,9
"and i 've been trying to share with a few years ago .
","in den nächsten 15 jahren habe ich jeden tag neue schriftzeichen gelernt .
",12,12
"i do n't know .
","ich wurde nie erwischt .
",4,4
"and i do n't know , i do n't know , but i do n't know , but i do n't know , right ?
","aber am meisten verblüfft mich : warum es mich so sehr , dass dieses kleine mädchen so gut im buchstabieren war ?
",24,21
"and i do n't have to do it .
","ich musste feststellen , dass es erstaunlich viel spaß macht .
",8,10
"he said , "" he said , he said , "" he said , "" <unk> <unk> .
","einer schlug sogar vor , meine behinderung in die aufzunehmen : , , zerebralparese .
",17,14
"this is a few years ago , which is a few years ago , which is a few years ago . </s> .
","von den zwölf , die seine oberfläche , ist , nach dem tod von armstrong im letzten jahr , jetzt der älteste .
",22,22
"and i do n't know that they 're going to do .
","und drittens hat ihr image nichts mit afrika und äthiopien zu tun .
",11,12
"now , you can see this .
","es ist eine tragödie nach der anderen .
",6,7
"you do n't know what you do is to do is to do . </s> .
","aber was sollen wir tun ? wir können es nicht so wie tom machen .
",15,14
"now , i 'm going to tell you that i 'm going to be a few years ago , which is a <unk> , which is a <unk> .
","war die hauptstadt des alten ägypten , mehr als vierhundert jahre lang , in einer epoche namens reich , vor etwa jahren .
",28,22
"it 's a little bit like a <unk> .
","vergleich und gegenüberstellung ermöglichen ein verständnis eines themas .
",8,8
"now , i 've been able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to the new york .
","was ich heute mit ihnen teilen möchte ist , wie wir genutzt haben , um eine stadt zu finden , die den namen trägt und für tausende von jahren war .
",43,30
"and he said , "" </s> ? ""
","kennst du britney ? ""
",7,4
"and i do n't have to be able to be able to be able to be able to be able to be able to be able to be able to be able to do it . </s> . </s> .
","wir wissen , dass die ersten 10 jahre eines eine exponentielle auswirkung darauf haben , wie viel geld man verdienen wird .
",39,21
"and i could do something that you could do it .
","dieses schwache band half ihr , dort eine arbeit zu bekommen .
",10,11
"and i do n't know , i do n't know , but i do n't know , but i do n't know , but i do n't know , </s> </s>
","niemand hat die gebärmutter meiner mutter , und ich habe es nicht bekommen , weil meine eltern cousins ersten grades sind , was sie sind .
",30,25
"i do n't know what i do . </s> .
","ich verstehe nicht , woher der gedanke kam .
",9,8
"and i want to do it .
","jetzt folge mir in deine küche .
",6,6
"so i 'm going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to a <unk> . </s> .
","bei microsoft applied sciences habe ich , zusammen mit meinem mentor , den computer und einen kleinen raum über der tastatur in einen digitalen arbeitsplatz .
",45,25
"i want to do it .
","du musst dir das wirklich vorstellen .
",5,6
"a man in a blue shirt and a man in front of paper , and a man in front of his hand .
","ich kam wie zum angezogen rein , sie schoben mich in ein studio und setzten mich auf einen stuhl mit rollen .
",22,21
"i do n't know that .
","mein traum würde also nie wahr werden .
",5,7
"he said , "" well , "" </s> . ""
","er ist ein "" gefangener "" , so wie jonas im wal .
",9,12
"so this is .
","das ist sein name .
",3,4
"and he said , "" well , he said , he said , you know , you know , you know , you do n't have a <unk> .
","und er fügt hinzu , dass es keinen bei geben würde , der nicht die hand schütteln wollte .
",28,18
"now , we 're going to do n't know , but we 're going to do n't know , but we 're going to do n't know , we 're going to do it .
","das bedeutet , dass 8 von 10 entscheidungen , erfahrungen und , die aus eurem leben , das machen , was es ist , bis ihr mitte 30 seid , schon passiert sind .
",34,33
"and this is the first time , and it 's the <unk> .
","das ist die sonne mit dem "" ursprung "" , weil japan östlich von china liegt .
",12,16
"and they said , ""
","drei zusammen sind "" funken "" .
",4,6
"and i do n't know that you do n't have to be able to be able to be able to be able to be able to be able to be able to do it . </s> .
","wenn wir eine person in den entsprechenden themen kompetent , verlässlich und ehrlich finden , dann haben wir einen guten grund , ihr zu vertrauen , dann ist sie vertrauenswürdig .
",36,30
"now , i 'm going to be able to be able to be able to the <unk> .
","mit dieser methode können sie aus den ersten acht radikalen 32 wörter bilden .
",17,13
"it 's not just a <unk> , but it 's a <unk> .
","es scheint so , als sei eifersucht kein emotionales , sondern ein problem .
",12,13
"now , i think that we 're going to be able to be able to be able to be able to be able to be able to be able to be <unk> . </s> .
","unser ziel war es , das negative bild von amerikanern arabischer herkunft in den medien zu verändern und zugleich daran zu erinnern , dass südasien und arabien nicht synonym sind .
",34,30
"you do n't know what you do n't do . </s> .
","definiert euch nicht darüber , was ihr nicht wisst , oder nicht gemacht habt .
",11,14
"now , we 're going to be able to be able to be able . </s> .
","in der akademischen welt ist es ein .
",16,7
"it 's a <unk> , and it 's called <unk> .
","es gibt sogar wie und .
",10,5
"it 's a <unk> .
","das ist .
",4,2
"and i 'm going to talk about it , and i 'm going to do it .
","ich lernte , wie man auf tanzt , also kann ich auf laufen .
",16,13
"i want to do something that i want to make a <unk> .
","also hatte ich mir in den kopf gesetzt , eine andere berufung zu finden .
",12,14
"you can be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to .
","wenn ein nicht spielen kann , kann auch keinen spielen .
",32,10
"now , i 'm going to talk about the <unk> , the <unk> . </s> .
","kummer , , verlust – das ist für der weg zur weisheit .
",15,12
"i do n't know .
","das ist mir so vertraut .
",4,5
"i do n't know that there are the <unk> .
",""" mehr vertrauen "" ist kein ziel in diesem leben .
",9,10
"a group of people are standing in the <unk> .
","er fällt mit fahnen durch den .
",9,6
"he said , ""
","schließlich er .
",3,2
"so how do you have to be able to be able to be able to be used ? </s> .
","lehrt uns irgendein anderes gefühl mit solch seltsamer intensität ?
",19,9
"and we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to help . </s> . </s> .
","die inspiration junger leute und die schaffung eines ist ein wirklich großer schritt , aber junge leute brauchen kapital , um ihre ideen in die tat umsetzen zu können .
",46,29
"so we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be . </s> .
","einer der letzten orte dieser erde , wo man noch immer leute finden kann , die noch immer leidenschaftlich ihr gedächtnis trainieren , und kultivieren , ist dieser einzigartige .
",47,29
"now , we 're going to be able to be able to be able to be able to be able to be able to be able to be <unk> . </s> .
","aber in dem derzeitigen politischen klima gibt es keine hoffnung , dass die energiepolitik der usa oder die internationalen abkommen diese meinungen aufnehmen und wiedergeben werden .
",31,26
"and i wanted to do it .
","das führte mich dazu , satellitenbilder zu benutzen .
",6,8
"thank you .
","danke .
",2,1
"and i do n't know that i do n't know , but i do n't want to do .
","nein . ich denke , dass er uns zu sagen versucht , dass eifersucht uns etwas über uns selbst sagt .
",18,20
"and i did n't have a lot of them , but they did n't have a lot . </s> .
","und obwohl ihre 20er hart waren , waren ihre jahre davor noch viel schlimmer .
",19,14
"and then , you know , you know , you know , you know , </s> </s> </s>
","bäcker riechen gut , wenn sie von der arbeit nach hause kommen .
",17,12
"it 's not a <unk> . it 's a <unk> .
","durchhaltevermögen ist leben wie ein marathon , nicht .
",10,8
"how do you have to be able to be able to make it ? </s> . </s> .
","gibt es ein anderes gefühl , das uns auf diese besondere weise öffnet ?
",17,13
"he said , "" well , you know , you know , you know , you know , <unk> <unk> . </s> .
","denken die menschen an , denken sie an seine als professor , dieser geniale verbrecher .
",22,15
"and i do n't know , i do n't want to do n't know what i want to do is to do .
","der laden , in dem ich meine socken kaufe , lässt sie mich zurückbringen und sie stellen keine fragen .
",22,19
"now , i 've been able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be . </s>
","das gilt gleichermaßen für , oder , ein gutes gespräch , ein toller urlaub , ein inspirierender tedtalk kann eine enorme auswirkung noch über jahre und sogar über kommende generationen hinweg haben .
",48,32
"and i 'm going to say , "" i 'm going to go back to the <unk> , and i 'm going to go back to the <unk> .
","ich bin in clubs überall in den usa aufgetreten , ich habe auch shows im nahen osten auf arabisch gemacht , und .
",28,22
"it 's a little bit more than a little bit more than a lot of <unk> .
","da wir nur 5 minuten zur verfügung haben , wäre eine schnellere und einfachere methode sehr nützlich .
",16,17
"we do n't have to do that .
","die definition von männlichkeit ist bereits dabei , sich zu ändern .
",7,11
"and i 'm going to talk about <unk> .
","als die arbeiten , berechnete ich noten .
",8,7
"i do n't know .
","darauf würde ich nicht abzielen .
",4,5
"so this is the <unk> of the <unk> .
","die presse redet über die des .
",8,6
"we 're going to do it .
","man hört es überall .
",6,4
"i 'm going to talk about three years ago , and i 'm going to talk about three years ago .
","ich möchte euch von einem sehr bizarren wettbewerb erzählen , der jedes jahr im frühling in new york city abgehalten wird .
",20,21
"you do n't know .
","kein shakespeare .
",4,2
"and i do n't know that i do n't know , but i do n't know , but i do n't know , but i do n't know , but i do n't know that they do n't have to do .
","ich nenne mich nicht gern die erste , aber ich weiß , dass sie noch nie von dem bösen kleinen gerücht gehört haben , dass frauen nicht witzig sind , und sie finden uns komisch .
",41,35
"and that 's the <unk> .
","völlig rational .
",5,2
"and it 's a little bit , and it 's a little bit , and it 's a little bit , and it 's going to do it .
","er ist da , aber nicht so präsent , wie man denkt , und an tagen , an denen es wirklich schlimm ist , gewöhnt man sich recht schnell daran .
",28,30
"now , i 'm going to do that this is that i 'm going to be able to be able to be able to be able to be able to be able to be able to be able to see here . </s>
","die nächste herausforderung kam , als wir uns das grundstück ansahen , denn es ist in einem richtigen der stadt , in dem die meisten der gebäude , die man auf dem bild sieht , noch nicht dort waren .
",42,39
"and we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to do .
","wenn man sie in eine steckt und ihr gehirn scannt , während sie sich nummern , gesichter und bilder von , kann man sehen , dass bei den andere regionen des aufleuchten als bei dem rest von uns .
",48,38
"and i 'm going to tell you that you 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to help you . </s> </s> </s>
","wir untersuchten , die in sehr schwierigen arbeiteten und fragten , welche lehrer zum ende des noch dort unterrichten würden und welche von ihnen die ihrer schüler am effektivsten verbessern würden .
",44,31
"he said , "" well , "" i 'm going to go to go . ""
","ich hatte einen besseren lebenslauf , als ich gerade die uni abgeschlossen hatte . ""
",15,14
"this is a <unk> , and this is a <unk> , and this is a <unk> <unk> . </s> .
","dies hier ist ed , ein typ , der aus england hergekommen ist und dort eines der hat .
",19,18
"so we 're going to see that we 're going to see , and we 're going to see that we 're going to see in the ocean .
","als erstes schufen wir eine verbindung zwischen diesen beiden straßen , und legten dort alle des gebäudes hin .
",28,18
"and i do n't know that i do n't know that i do n't know .
","ich sagte ihr , die zeit , eine neue familie , wäre jetzt .
",15,13
"how do you do you ?
","doch warum gingen sie ?
",5,4
"and he said , "" </s> ? ""
","weißt du noch welches wort es war ? ""
",7,8
"i 'm going to talk about <unk> .
","literatur allein die eifersucht .
",7,4
"and he said , "" what do you know , "" </s> </s>
","ich meine , du musst ja irgendwo anfangen , nicht wahr ? ""
",12,12
"a man in a white shirt is talking .
","ein stück über ein mädchen mit cp .
",8,7
"and i do n't know , i do n't want to do it . </s> .
","das ist toll . ich vertraue ihnen , da sie sich mir gegenüber verletzlich gezeigt haben .
",15,16
"he said , "" i do n't know .
","und ed sagte , "" ich bin kein .
",8,8
"and then , i had to go back to go back to go back to go back to go .
","sicher haben viele von ihnen bereits erfahrung damit gemacht , artikel online zu kaufen und später zurückzugeben .
",19,17
"and he said , "" well , "" well , "" i do n't know , "" you do n't know , "" </s>
","ich sagte : "" ja klar , sie trifft sich mit männern unter ihrem niveau , sie schläft mit einem , aber sie wird ihn nicht heiraten . ""
",23,28
"and i want to talk about the world , and i want to do is to create a new kind of <unk> .
","ich hoffe , dass wir zusammen ein bild von behinderung in den medien und im alltag erschaffen können .
",22,18
"and so , you know , you know , you know , and you know , you know , you know , you know , you know , you know , right ?
","warum gibt es so viel macht – großes m , macht – in den filmen , die es für unsere kinder gibt , und so wenige gelbe ?
",32,27
"and he said , "" well , he said , he said , "" </s> </s>
","[ freud ] sagt , dass der mann zum hüter des seiner frau wird .
",15,14
"and i 'm going to be able to be able to do n't know , and they 're trying to do , and they 're trying to be able to do , and they 're going to do .
","gute freunde sind prima , um zum flughafen zu kommen , aber 20er , die aufeinander hocken mit leuten , die so denken wie sie , grenzen damit ein , wen sie kennenlernen , was sie kennenlernen , wie sie denken , wie sie sprechen und wo sie arbeiten .
",38,49
"and i do n't know , i do n't know , but i do n't know , but i do n't have a <unk> , but i do n't have a <unk> .
","aber stattdessen blieb ich ein möbelstück , das nur am hinterkopf erkennbar war , und mir wurde bewusst , dass keine , ethnischen , behinderten schauspieler .
",32,26
"a group of people are standing in a <unk> . </s> .
","wie findet man also eine stadt in einer derart ausgedehnten landschaft .
",11,11
"and i do n't know , i do n't know , but i do n't know what i do .
","ich muss euch auch sagen : ich hab 99 probleme und zerebralparese ist nur eins davon .
",19,16
"thank you .
","vielen dank .
",2,2
"now , you 're going to be a year , you 're going to be a year .
","im jahr 2030 werden drei von fünf einwohnern in den städten jünger als 18 jahre sein .
",17,16
"and i wanted to do , and i wanted to do it , and i wanted to do it .
","mir gefällt diese art von aufgabe für meine tochter und mir gefällt diese art von aufgabe für meinen sohn .
",19,19
"and they 're going to do that they 're going to be <unk> .
","nicht nur sind alle tot , ihre körper sind bis zur entstellt .
",13,12
"how do you know , how do you have a <unk> ?
","wie bringt ihren film zu einem guten ende ?
",11,8
"i do n't know that i do n't know that i do n't know .
","die leute , mit denen ich aufwuchs , hatten kein problem mit meinem glauben .
",14,14
"now , i think that i think that i think that i think that you have to be a lot of <unk> , but it 's a lot of <unk> , and it 's a lot of <unk> .
","sie brachten nicht viel zurück : 380 kilogramm altes gestein und etwas , was alle 24 später – einen neuen sinn dafür , dass unser gemeinsames zuhause klein und zerbrechlich ist .
",38,31
"it 's a <unk> , but it 's a <unk> .
","für mich bedeutet unternehmertum mehr als nur die gründung eines .
",10,10
"and then , i had to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to the <unk> .
","dieses mit war der und und diese dynamische gruppe junger leute war , eine mit verbindungen zu al-qaida .
",44,18
"i do n't know that you do n't have a <unk> .
","das problem war , dass das experiment nicht wie geplant verlief .
",11,11
"and he said , "" i said , "" </s> . ""
","und sie schaute mich an und sagte : "" fünf , vier , drei , zwei ... ""
",11,17
"and they 're going to do it .
","ich wollte sie kennenlernen – als individuen .
",7,7
"they 're going to be able to help them .
","so können zwei leute ihr vertrauen ineinander verbessern .
",9,8
"now , we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to the <unk> .
","als ich zum grundstück hinging , war der erste schritt , die bestehenden straßen zu verlängern , um die ersten 12 blöcke zu schaffen , mit ähnlicher größe und eigenschaften wie die in barcelona und in anderen europäischen städten mit diesen .
",44,41
"i do n't want to do it .
","falls doch , habe ich es noch nicht erkannt .
",7,9
"we 're not going to be able to be able to be able to be able to be able to be able to be able . </s> . </s> .
","vielleicht gäbe es weniger hass im internet , wenn es mehr positive vorbilder gäbe .
",29,14
"and i could do something that i could be able to be able to be able to be able to make it .
","bernstein meinte , dass große dinge mit einem plan und etwas zu wenig zeit erreicht werden .
",22,16
"they 're going to be able to be able to be able to be able to be able to be able to be able to be able to be . </s>
","vielleicht hat es ja in einigen aktivitäten oder einrichtungen abgenommen und in anderen vielleicht zugenommen .
",30,15
"and we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to the day .
","außerdem war ich bei unserem ersten wirklich von dem alten markt mit dieser fasziniert , wo tausende von leuten hingehen und einkaufen , täglich bei kleinen händlern .
",43,27
"and it 's a little bit , and it 's a little bit .
","der , diese , sie sind alle nur abkürzungen .
",13,9
"we 're not going to do it .
","wir erinnern uns , wenn wir engagiert sind .
",7,8
"and we 're going to do that we 're going to do in the world .
","in diesen beiden beispielen greifen wir also in die digitale welt .
",15,11
"and he said , "" i did n't know , he was a <unk> , he was a <unk> , he was a <unk> .
","eines tages wurde freud von einem sehr besorgten jungen mann , der von dem gedanken war , dass ihn seine frau betrügt .
",24,22
"he said , "" well , he said , he said , "" he said , "" </s> . ""
","in meinem plante die schließlich ein stück mit dem titel "" sie tanzen in jackson echt langsam "" .
",19,18
"and what i want to do is to do is to do . </s> .
","ich möchte das ändern , was leute in den 20ern tun und denken .
",14,13
"so i 'm going to talk about this story , and i 'm going to talk about what i 'm going to talk about .
","dabei denke ich an mich mit 8 jahren , aber ich denke auch an die geschichte , die ich in den nachrichten gehört habe .
",24,24
"so , i 'm going to look at the <unk> , which is called <unk> .
","das für "" tür "" sieht wie eine aus dem wilden westen aus .
",15,13
"and i 'm going to talk about it , and i 'm going to be able to be able to be able to be able to be able to be able to do it .
","er hatte auf eine gelegenheit gewartet , auf die zukunft , auf einen ausweg und es war die erste gelegenheit , die sich ihm bot .
",34,25
"he said , "" <unk> <unk> . ""
","er heißt "" united "" .
",7,5
"and i 'm going to talk about the <unk> , and i 'm going to talk about <unk> , and i 'm going to go to be a <unk> .
","als ich in der ersten klasse war , wollte mich die regierung auf eine schule für athleten schicken , alle bezahlt .
",29,21
"i 'm going to talk about my hand .
","hier bin ich mit meinem .
",8,5
"but what does it ?
","stimmt das nicht ?
",4,3
"and i do n't know that you do n't know , but it 's going to be <unk> .
","der roman beschreibt sehr gut , wie eifersucht uns intensiv , jedoch nicht genau .
",18,14
"but what does it ?
","ist es denn wirklich so einfach ?
",4,6
"and i do n't know that you do n't want to do n't want to do n't want to do n't want to be a <unk> .
","die hälfte der jobs sind nie worden . wenn ihr also den chef eures nachbarn kontaktiert , ihr einen nicht job .
",26,21
"now , i think that 's a few years ago , but it 's a very important thing .
","als kultur haben wir das , was jetzt das entscheidende jahrzehnt für das erwachsenwerden ist .
",18,15
"they 're not going to do .
","er hat diesen trend nicht gestartet .
",6,6
"and then , ""
","die "" sonne "" .
",3,4
"it 's a <unk> , and it 's a <unk> , and it 's a <unk> , and it 's a <unk> , and it 's a <unk> .
","und die stätte erscheint braun . benutzen wir aber infrarot , und bearbeiten es mit falscher farbe , wird diese stätte plötzlich hellrosa .
",28,23
"and what do we have to do is , and how do we have to do it , how do we have to do it ?
","aber wie wäre es , wenn wir das ganze einmal umdrehen und die digitalen informationen stattdessen uns erreichen ?
",25,18
"i 've been trying to talk about what i 've been trying to do with the <unk> .
","durch die begegnung mit einer neuen kultur begann ich mit dem lesen .
",17,12
"and i do n't know , i do n't know , but i do n't know , but i do n't know .
","aber später hört es sich so an : "" meine 20er sind fast vorbei und ich habe nichts .
",22,18
"and then , we 're trying to build the <unk> and <unk> .
","hat eingestellt , die ihm helfen , die motorräder zu und .
",12,11
"we 're going to do it .
","jeder fragt nach dem gestank .
",6,5
"a man in a white shirt is standing in front of a <unk> . ""
","tür . ein brett in der tür steht für den "" "" .
",14,12
"i do n't do it .
","aber ich habe es nicht hingekriegt .
",5,6
"it 's a little bit .
","es ist eine bemerkenswerte statistik .
",5,5
"and we 're going to do that , we 're going to do that we 're going to do , and we 're going to do that we 're going to get to get into a day .
","der erste schritt ist also , junge leute zu inspirieren , und in diesem raum hatte anwesenheit große auswirkungen auf die anderen jungen leute im raum .
",37,26
"and i do n't have to be able to be able to do it . </s> .
","und mir vor , daran teilzunehmen , nur so als experiment .
",16,11
"and he said , "" well , "" well , "" well , "" i do n't know , "" i do n't know , "" i do n't know , "" i do n't know , ""
","das so genannte illustriert dieses konzept besonders elegant . es lautet wie folgt : wenn ich zwei personen bitte , sich das selbe wort zu merken , und dir sage ich , "" dir , dass es eine person namens bäcker gibt . ""
",37,43
"and so we 're trying to do , and we 're trying to do , and we 're trying to do , and we 're trying to do , and we 're trying to build the world of the world . </s>
","in der gesamten , war es immer unser ziel , den abstand zwischen uns und digitalen informationen zu verkleinern , die lücke zwischen unserer physikalischen welt und der welt auf dem bildschirm , wo wir unsere vorstellungskraft können .
",41,38
"now , i 'm going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able . </s>
","aber man sieht genauer , und das ist sehr interessant , dieses leicht areal , angedeutet mit dem kreis , das uns als eine mögliche position für die stadt erschien .
",48,30
"now , we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be <unk> . </s> . </s> .
","wussten schon immer , dass sich die stätte von irgendwo in der nähe der pyramiden befand , erbaut von den zwei , hier mit den roten kreisen angezeigt , aber irgendwo in dieser massiven .
",42,34
"and he said , "" i do n't know , "" i do n't know , "" i do n't know , "" i do n't know , ""
","meine eltern mir immer ein , dass ich zu allem in der lage wäre , dass kein traum unmöglich war , und mein traum war es , bei der "" general hospital "" .
",28,33
"and i had to do , and i had a <unk> , and i had to make a <unk> , and i had a <unk> .
","aber mr. lud mich nicht nur wieder ein , sondern machte mich zu einem und klebte meinen stuhl fest .
",25,19
"a group of people are sitting on the ocean , and they are looking at the ocean , and they are looking at the ocean .
","wir bauen das mit diesen kleinen vorgefertigten bauteilen , den fenstern , die luft und licht auf kontrollierte weise ins gebäude lassen ,
",25,22
"and i do n't know that i do n't know , but i do n't know , but i do n't know , but i do n't know , but i do n't know , but i do n't know .
","keine eifersucht , kein . ich weiß , dass es in mode gekommen ist zu sagen , dass die antwort auf alles hat , aber in puncto eifersucht hat er das wirklich .
",40,32
"and i do n't know , i do n't know , but i do n't know .
","sie gaben ihnen einen stapel und die antwort war : eigentlich nicht .
",16,12
"and i 'm going to do that you 're going to be able to be able to be able to do it . </s> . </s> .
","würde ich euch bitten , die ersten zehn worte der geschichte über zu wiederholen , so würdet ihr es schwierig finden .
",26,21
"and i do n't know , i do n't know , "" <unk> , "" <unk> . ""
","es ist der und ich glaube , dass das mittel gegen "" "" sein kann .
",17,15
"so , we can see that we can see , but we can see the same time .
","aber es gibt eine zahl , die größer als diese ist und die diesen raum wird .
",17,16
"and he said , "" he said , he said , he said , he said , and he said , he said , he said , "" </s> .
","mein vater brachte mir das laufen bei , als ich fünf war , indem er meine auf seine füße und einfach .
",29,21
"i do n't know .
","es war doch so offensichtlich .
",4,5
"and i want to say , "" well , "" i want to be able to be able to be able to do . ""
","alles , was sie mir gibt und was mir freude bereitet , könnte auch jemand anderem freude bereiten , vielleicht sogar in diesem moment . ""
",24,25
"it 's a little bit like a little bit like a little bit .
","jeder , der hier , wird dir bestätigen , dass er oder sie nur ein hat .
",13,16
